nom,point_depart,point_arrivee,distance_km,coords
Avenue Hassan II شارع الحسن الثاني,"(-4.9984202, 34.0425511)","(-4.9972195, 34.0440403)",0.2,"[(-4.9984202, 34.0425511), (-4.9978149, 34.0433306), (-4.9973092, 34.0439209), (-4.9972195, 34.0440403)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0092379, 34.0404727)","(-5.0086954, 34.0401863)",0.06,"[(-5.0092379, 34.0404727), (-5.0087685, 34.0402255), (-5.0086954, 34.0401863)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.008644, 34.0401575)","(-5.0067186, 34.0391007)",0.21,"[(-5.008644, 34.0401575), (-5.0085559, 34.0401127), (-5.006816, 34.0391535), (-5.0067186, 34.0391007)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0086401, 34.0402646)","(-5.0091848, 34.0405564)",0.06,"[(-5.0086401, 34.0402646), (-5.008706, 34.0403007), (-5.0091848, 34.0405564)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0100921, 34.040928)","(-5.0117531, 34.0409611)",0.15,"[(-5.0100921, 34.040928), (-5.0102099, 34.0409418), (-5.010324, 34.040946), (-5.0105364, 34.0409506), (-5.0114105, 34.0409567), (-5.0117531, 34.0409611)]"
Boulevard Allal El Fassi,"(-4.9726957, 34.0537766)","(-4.9686098, 34.0571716)",0.58,"[(-4.9726957, 34.0537766), (-4.9726989, 34.0539058), (-4.9726827, 34.0540217), (-4.9726532, 34.0541347), (-4.9725996, 34.0542439), (-4.9724762, 34.0544562), (-4.9721653, 34.0550066), (-4.9718963, 34.0554554), (-4.9716721, 34.0558626), (-4.971563, 34.0560017), (-4.9714797, 34.0560961), (-4.9713872, 34.0561817), (-4.9713014, 34.0562528), (-4.9712062, 34.0563183), (-4.9710882, 34.0563783), (-4.970961, 34.0564303), (-4.9708199, 34.0564824), (-4.968756, 34.057125), (-4.9686098, 34.0571716)]"
Boulevard Allal El Fassi,"(-4.9730491, 34.0537902)","(-4.9753588, 34.0541723)",0.26,"[(-4.9730491, 34.0537902), (-4.9732465, 34.0536437), (-4.9733453, 34.0535883), (-4.9735322, 34.0535046), (-4.9737212, 34.0534504), (-4.9738562, 34.0534183), (-4.9739779, 34.0534061), (-4.9741191, 34.0533983), (-4.9742627, 34.0534126), (-4.9744248, 34.0534405), (-4.9745708, 34.0534841), (-4.9747359, 34.0535477), (-4.9749479, 34.0536624), (-4.9750546, 34.0537548), (-4.9751697, 34.0538905), (-4.9752687, 34.0540284), (-4.9752842, 34.0540523), (-4.9753588, 34.0541723)]"
Boulevard Allal El Fassi,"(-4.9641507, 34.0600089)","(-4.9647162, 34.0596517)",0.07,"[(-4.9641507, 34.0600089), (-4.9642456, 34.0599898), (-4.9643481, 34.0599541), (-4.9644354, 34.0599215), (-4.9645053, 34.059876), (-4.9645808, 34.0598128), (-4.9646553, 34.0597349), (-4.9647162, 34.0596517)]"
Boulevard Allal El Fassi,"(-4.9686098, 34.0571716)","(-4.966634, 34.0586337)",0.25,"[(-4.9686098, 34.0571716), (-4.9682214, 34.0572942), (-4.9680182, 34.0573677), (-4.9678326, 34.0574422), (-4.9676964, 34.057524), (-4.9675524, 34.0576246), (-4.9674298, 34.0577409), (-4.9673317, 34.0578581), (-4.9670939, 34.0581512), (-4.9669546, 34.0583139), (-4.9668065, 34.0584836), (-4.966634, 34.0586337)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9976239, 34.0357557)","(-4.9976491, 34.0359496)",0.02,"[(-4.9976239, 34.0357557), (-4.9976491, 34.0359496)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9976239, 34.0357557)","(-4.9974461, 34.0342023)",0.17,"[(-4.9976239, 34.0357557), (-4.9974744, 34.0344889), (-4.9974461, 34.0342023)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9977921, 34.0370943)","(-4.9978496, 34.0372896)",0.02,"[(-4.9977921, 34.0370943), (-4.9978496, 34.0372896)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9977921, 34.0370943)","(-4.9976491, 34.0359496)",0.13,"[(-4.9977921, 34.0370943), (-4.9977616, 34.0369647), (-4.997734, 34.0368277), (-4.997705, 34.0365266), (-4.9976491, 34.0359496)]"
Boulevard Allal El Fassi,"(-4.9886662, 34.0514198)","(-4.9902556, 34.0508443)",0.16,"[(-4.9886662, 34.0514198), (-4.9888149, 34.0513877), (-4.9889912, 34.0513477), (-4.9891445, 34.0513008), (-4.9892484, 34.0512635), (-4.9894395, 34.0511905), (-4.9897898, 34.0510498), (-4.9902556, 34.0508443)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0188044, 34.0405463)","(-5.0210812, 34.0393328)",0.25,"[(-5.0188044, 34.0405463), (-5.0190099, 34.0404483), (-5.0191829, 34.0403594), (-5.0195074, 34.0401804), (-5.0199728, 34.0399315), (-5.0204857, 34.0396698), (-5.0210812, 34.0393328)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0224019, 34.0388359)","(-5.0225582, 34.0388114)",0.01,"[(-5.0224019, 34.0388359), (-5.0225582, 34.0388114)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0225582, 34.0388114)","(-5.0270786, 34.0397983)",0.44,"[(-5.0225582, 34.0388114), (-5.0229406, 34.038778), (-5.0234704, 34.0387724), (-5.0236809, 34.0387891), (-5.02387, 34.0388158), (-5.0240953, 34.0388602), (-5.0242838, 34.0389073), (-5.0247576, 34.0390574), (-5.0251771, 34.0391874), (-5.0259314, 34.0394443), (-5.0265184, 34.0396313), (-5.0270786, 34.0397983)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0210812, 34.0393328)","(-5.0224019, 34.0388359)",0.13,"[(-5.0210812, 34.0393328), (-5.0212495, 34.0392447), (-5.0214386, 34.0391614), (-5.0217618, 34.0390425), (-5.021991, 34.0389575), (-5.0223069, 34.0388621), (-5.0224019, 34.0388359)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.000125, 34.0356281)","(-5.000958, 34.0360928)",0.09,"[(-5.000125, 34.0356281), (-5.000958, 34.0360928)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-4.9991212, 34.0350744)","(-5.000125, 34.0356281)",0.11,"[(-4.9991212, 34.0350744), (-5.000125, 34.0356281)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-4.9983673, 34.0346537)","(-4.9990787, 34.035052)",0.08,"[(-4.9983673, 34.0346537), (-4.9990787, 34.035052)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-4.9990787, 34.035052)","(-4.9991212, 34.0350744)",0.0,"[(-4.9990787, 34.035052), (-4.9991212, 34.0350744)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.000958, 34.0360928)","(-5.0010126, 34.0361236)",0.01,"[(-5.000958, 34.0360928), (-5.0010126, 34.0361236)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0010126, 34.0361236)","(-5.0021548, 34.036802)",0.13,"[(-5.0010126, 34.0361236), (-5.001921, 34.0366144), (-5.0020107, 34.0366748), (-5.0021052, 34.0367582), (-5.0021548, 34.036802)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0066609, 34.0391717)","(-5.0073822, 34.0395647)",0.08,"[(-5.0066609, 34.0391717), (-5.0067675, 34.0392289), (-5.0073822, 34.0395647)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0050667, 34.0383022)","(-5.0066609, 34.0391717)",0.18,"[(-5.0050667, 34.0383022), (-5.006165, 34.0389039), (-5.0065039, 34.0390896), (-5.0066609, 34.0391717)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0073822, 34.0395647)","(-5.0080594, 34.0399392)",0.08,"[(-5.0073822, 34.0395647), (-5.0077503, 34.0397683), (-5.0080594, 34.0399392)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0080594, 34.0399392)","(-5.0085751, 34.0402278)",0.06,"[(-5.0080594, 34.0399392), (-5.0084951, 34.0401824), (-5.0085751, 34.0402278)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0091848, 34.0405564)","(-5.0100921, 34.040928)",0.09,"[(-5.0091848, 34.0405564), (-5.0092857, 34.0406107), (-5.0096053, 34.0407854), (-5.009726, 34.0408347), (-5.0098492, 34.0408758), (-5.0099636, 34.040905), (-5.0100921, 34.040928)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0117531, 34.0409611)","(-5.0143928, 34.0410512)",0.24,"[(-5.0117531, 34.0409611), (-5.013994, 34.0410038), (-5.0141162, 34.0410051), (-5.0142569, 34.0410239), (-5.0143928, 34.0410512)]"
Route Sefrou طريق صفرو,"(-4.9799812, 34.0104991)","(-4.9797165, 34.0101493)",0.05,"[(-4.9799812, 34.0104991), (-4.9797165, 34.0101493)]"
Boulevard Allal El Fassi,"(-4.9939843, 34.0480171)","(-4.9909753, 34.0504071)",0.39,"[(-4.9939843, 34.0480171), (-4.9938862, 34.0481534), (-4.9938707, 34.0481732), (-4.9938438, 34.0482075), (-4.993773, 34.0482977), (-4.9936174, 34.0484859), (-4.9933352, 34.0488026), (-4.9930434, 34.0490655), (-4.9929065, 34.0491866), (-4.9928153, 34.0492673), (-4.9924833, 34.0495256), (-4.9921905, 34.0497237), (-4.9918176, 34.0499449), (-4.9914502, 34.0501549), (-4.9912383, 34.0502682), (-4.9909753, 34.0504071)]"
