nom,point_depart,point_arrivee,distance_km,coords
Boulevard Allal El Fassi,"(-4.9966753, 34.0447384)","(-4.9941041, 34.0478506)",0.42,"[(-4.9966753, 34.0447384), (-4.9965906, 34.0448097), (-4.9965298, 34.0448638), (-4.9964527, 34.0449353), (-4.9964329, 34.0449529), (-4.9963821, 34.0449974), (-4.9962983, 34.0450856), (-4.9962419, 34.0451478), (-4.9961896, 34.0452067), (-4.9961604, 34.0452462), (-4.9960654, 34.0453732), (-4.9959522, 34.0455456), (-4.9958932, 34.0456245), (-4.9958249, 34.0457146), (-4.9957271, 34.0458367), (-4.9956505, 34.0459323), (-4.9954748, 34.0461401), (-4.9953779, 34.0462697), (-4.9953233, 34.0463376), (-4.9949881, 34.0467544), (-4.9948199, 34.0469576), (-4.9946973, 34.0471197), (-4.9944153, 34.0474803), (-4.9942472, 34.0476849), (-4.994195, 34.0477472), (-4.9941041, 34.0478506)]"
Avenue Hassan II شارع الحسن الثاني,"(-4.9971452, 34.0447972)","(-4.9982139, 34.0434565)",0.18,"[(-4.9971452, 34.0447972), (-4.9973799, 34.0445028), (-4.9976645, 34.0441459), (-4.9976958, 34.0441066), (-4.9981633, 34.04352), (-4.9982139, 34.0434565)]"
Boulevard Mohammed V شارع محمد الخامس,"(-4.9987886, 34.0395907)","(-4.9985577, 34.0390118)",0.07,"[(-4.9987886, 34.0395907), (-4.9986058, 34.0391403), (-4.9985577, 34.0390118)]"
Boulevard Allal El Fassi,"(-4.9639377, 34.0597784)","(-4.9633425, 34.0601904)",0.07,"[(-4.9639377, 34.0597784), (-4.9637856, 34.0598714), (-4.9636222, 34.0599848), (-4.9634828, 34.0600865), (-4.9633425, 34.0601904)]"
Avenue des Forces Armées Royales شارع الجيش الملكي,"(-5.0194323, 34.0401293)","(-5.0147952, 34.0409103)",0.45,"[(-5.0194323, 34.0401293), (-5.0191493, 34.0402871), (-5.0189522, 34.0403871), (-5.0187403, 34.0404816), (-5.0184249, 34.0406086), (-5.0180459, 34.0407327), (-5.0177865, 34.0408003), (-5.0174851, 34.0408609), (-5.0172179, 34.0409062), (-5.0169512, 34.0409415), (-5.0166425, 34.0409683), (-5.0163593, 34.0409825), (-5.0160562, 34.0409813), (-5.0157177, 34.0409725), (-5.0154735, 34.0409667), (-5.015137, 34.0409655), (-5.0150403, 34.0409551), (-5.0147952, 34.0409103)]"
Boulevard Allal El Fassi,"(-4.9640386, 34.0600114)","(-4.9641507, 34.0600089)",0.01,"[(-4.9640386, 34.0600114), (-4.9640938, 34.0600115), (-4.9641507, 34.0600089)]"
Boulevard Allal El Fassi,"(-4.9647162, 34.0596517)","(-4.9667079, 34.0586945)",0.21,"[(-4.9647162, 34.0596517), (-4.9648439, 34.0595634), (-4.9649602, 34.0594679), (-4.965119, 34.0593694), (-4.9652906, 34.0592938), (-4.9654649, 34.059216), (-4.9657238, 34.059126), (-4.9658943, 34.0590736), (-4.9661202, 34.059), (-4.9663224, 34.0589234), (-4.9664566, 34.0588585), (-4.966582, 34.0587832), (-4.9667079, 34.0586945)]"
Boulevard Allal El Fassi,"(-4.9667079, 34.0586945)","(-4.9730139, 34.0538234)",0.84,"[(-4.9667079, 34.0586945), (-4.96688, 34.058548), (-4.967058, 34.0583694), (-4.967433, 34.0579156), (-4.9675218, 34.0578134), (-4.9676374, 34.0576995), (-4.9677863, 34.0575985), (-4.9679167, 34.0575268), (-4.9680739, 34.0574573), (-4.9682733, 34.0573945), (-4.9686556, 34.0572774), (-4.9708642, 34.056595), (-4.9710289, 34.0565375), (-4.971186, 34.05647), (-4.9713054, 34.0564039), (-4.9714142, 34.056325), (-4.9715026, 34.056255), (-4.9715965, 34.0561639), (-4.9716944, 34.0560561), (-4.9717882, 34.0559239), (-4.9719585, 34.0556372), (-4.9721878, 34.055235), (-4.9725395, 34.0546059), (-4.9727262, 34.0543012), (-4.9729158, 34.0539835), (-4.9730139, 34.0538234)]"
Route Sefrou طريق صفرو,"(-4.9820085, 34.0131356)","(-4.9814698, 34.0124526)",0.09,"[(-4.9820085, 34.0131356), (-4.9814698, 34.0124526)]"
Route Sefrou طريق صفرو,"(-4.9814698, 34.0124526)","(-4.9809439, 34.0117386)",0.09,"[(-4.9814698, 34.0124526), (-4.9809439, 34.0117386)]"
